lat,lon,address,locality,state,postcode,territory_count,territory1,territory2,territory3,territory4,territory5
-27.4312,153.5275,POINT LOOKOUT QLD 4183,POINT LOOKOUT,QLD,4183,2,Yuggera,Quandamooka,NA,NA,NA
-27.569,153.3299,COOCHIEMUDLO ISLAND QLD 4184,COOCHIEMUDLO ISLAND,QLD,4184,2,Yuggera,Quandamooka,NA,NA,NA
-27.6385,153.3723,KARRAGARRA ISLAND QLD 4184,KARRAGARRA ISLAND,QLD,4184,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.6247,153.3811,LAMB ISLAND QLD 4184,LAMB ISLAND,QLD,4184,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.6044,153.3606,MACLEAY ISLAND QLD 4184,MACLEAY ISLAND,QLD,4184,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.5001,153.3558,PEEL ISLAND QLD 4184,PEEL ISLAND,QLD,4184,2,Yuggera,Quandamooka,NA,NA,NA
-27.6724,153.3886,RUSSELL ISLAND QLD 4184,RUSSELL ISLAND,QLD,4184,3,Yuggera,Yugambeh,Quandamooka,NA,NA
-27.6872,153.1549,BETHANIA QLD 4205,BETHANIA,QLD,4205,3,Bundjalung,Yuggera,Yugambeh,NA,NA
-27.7076,153.2663,ALBERTON QLD 4207,ALBERTON,QLD,4207,3,Bundjalung,Yuggera,Yugambeh,NA,NA
-27.7378,153.1733,BAHRS SCRUB QLD 4207,BAHRS SCRUB,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7599,153.1921,BANNOCKBURN QLD 4207,BANNOCKBURN,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7128,153.1943,BEENLEIGH QLD 4207,BEENLEIGH,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7586,153.1746,BELIVAH QLD 4207,BELIVAH,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7421,153.1391,BUCCAN QLD 4207,BUCCAN,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7029,153.2181,EAGLEBY QLD 4207,EAGLEBY,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7029,153.1691,EDENS LANDING QLD 4207,EDENS LANDING,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7122,153.1703,HOLMVIEW QLD 4207,HOLMVIEW,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8382,153.1367,KAIRABAH QLD 4207,KAIRABAH,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7892,153.1169,LOGAN VILLAGE QLD 4207,LOGAN VILLAGE,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7878,153.2082,LUSCOMBE QLD 4207,LUSCOMBE,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7307,153.2051,MOUNT WARREN PARK QLD 4207,MOUNT WARREN PARK,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7326,153.2414,STAPYLTON QLD 4207,STAPYLTON,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7398,153.3432,STEIGLITZ QLD 4207,STEIGLITZ,QLD,4207,3,Bundjalung,Yuggera,Yugambeh,NA,NA
-27.7458,153.1936,WINDAROO QLD 4207,WINDAROO,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7836,153.1727,WOLFFDENE QLD 4207,WOLFFDENE,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7357,153.3206,WOONGOOLBA QLD 4207,WOONGOOLBA,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8158,153.1174,YARRABILBA QLD 4207,YARRABILBA,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7514,153.2167,YATALA QLD 4207,YATALA,QLD,4207,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7826,153.3553,JACOBS WELL QLD 4208,JACOBS WELL,QLD,4208,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8282,153.2328,KINGSHOLME QLD 4208,KINGSHOLME,QLD,4208,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7775,153.3082,NORWELL QLD 4208,NORWELL,QLD,4208,2,Bundjalung,Yugambeh,NA,NA,NA
-27.7748,153.252,ORMEAU QLD 4208,ORMEAU,QLD,4208,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8006,153.2337,ORMEAU HILLS QLD 4208,ORMEAU HILLS,QLD,4208,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8487,153.3296,COOMERA QLD 4209,COOMERA,QLD,4209,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8111,153.319,PIMPAMA QLD 4209,PIMPAMA,QLD,4209,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8801,153.2828,UPPER COOMERA QLD 4209,UPPER COOMERA,QLD,4209,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8488,153.2612,WILLOW VALE QLD 4209,WILLOW VALE,QLD,4209,2,Bundjalung,Yugambeh,NA,NA,NA
